Person ID,First name,Last name,Party,Division,URI
10649,Maria,Vamvakinou,Australian Labor Party,Calwell,http://openaustralia.org.au/mp/maria_vamvakinou/calwell
10729,Bert,Van Manen,Liberal Party,Forde,http://openaustralia.org.au/mp/bert_van_manen/forde
10651,Ross,Vasta,Liberal Party,Bonner,http://openaustralia.org.au/mp/ross_vasta/bonner
10896,Andrew,Wallace,Liberal Party,Fisher,http://openaustralia.org.au/mp/andrew_wallace/fisher
10794,Tim,Watts,Australian Labor Party,Gellibrand,http://openaustralia.org.au/mp/tim_watts/gellibrand
10935,Anne,Webster,National Party,Mallee,http://openaustralia.org.au/mp/anne_webster/mallee
10931,Anika,Wells,Australian Labor Party,Lilley,http://openaustralia.org.au/mp/anika_wells/lilley
10811,Lucy,Wicks,Liberal Party,Robertson,http://openaustralia.org.au/mp/lucy_wicks/robertson
10727,Andrew,Wilkie,Independent,Clark,http://openaustralia.org.au/mp/andrew_wilkie/clark
10893,Josh,Wilson,Australian Labor Party,Fremantle,http://openaustralia.org.au/mp/josh_wilson/fremantle
10816,Rick,Wilson,Liberal Party,O'Connor,http://openaustralia.org.au/mp/rick_wilson/o%27connor
10894,Tim,Wilson,Liberal Party,Goldstein,http://openaustralia.org.au/mp/tim_wilson/goldstein
10679,Jason,Wood,Liberal Party,La Trobe,http://openaustralia.org.au/mp/jason_wood/la_trobe
10730,Ken,Wyatt,Liberal Party,Hasluck,http://openaustralia.org.au/mp/ken_wyatt/hasluck
10933,Terry,Young,Liberal National Party,Longman,http://openaustralia.org.au/mp/terry_young/longman
10695,Tony,Zappia,Australian Labor Party,Makin,http://openaustralia.org.au/mp/tony_zappia/makin
10844,Trent,Zimmerman,Liberal Party,North Sydney,http://openaustralia.org.au/mp/trent_zimmerman/north_sydney
